"entity","id","slug","current_price_fields","evidence","proposed_mode","proposed_min","proposed_max","reason","local_link","admin_link"
"Place","cmrq83p5h00cpwswvotfuosjd","simba-simba","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}","[{""source"":""current.place"",""path"":""$"",""value"":{""id"":""cmrq83p5h00cpwswvotfuosjd"",""slug"":""simba-simba"",""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}},{""source"":""snapshot:wordpress-db:places:11408:raw"",""path"":""$.postMeta.visit-price[0]"",""value"":""11420,11421""}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/place/cmrq83p5h00cpwswvotfuosjd/edit","/editor/place/cmrq83p5h00cpwswvotfuosjd/edit"
"Place","cmrq83pct00nkwswvb0d2vqie","baletnaya-shkola-vezhnovets-na-aranskoy","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}","[{""source"":""current.place"",""path"":""$"",""value"":{""id"":""cmrq83pct00nkwswvb0d2vqie"",""slug"":""baletnaya-shkola-vezhnovets-na-aranskoy"",""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}},{""source"":""snapshot:wordpress-db:places:32636:raw"",""path"":""$.postMeta.texteditor-visit-price[0]"",""value"":""<p>от 18 руб./час</p>""}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/place/cmrq83pct00nkwswvb0d2vqie/edit","/editor/place/cmrq83pct00nkwswvb0d2vqie/edit"
"Place","cmrq83pae00kewswvnimo75x3","aktiv-park","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}","[{""source"":""current.place"",""path"":""$"",""value"":{""id"":""cmrq83pae00kewswvnimo75x3"",""slug"":""aktiv-park"",""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}},{""source"":""snapshot:wordpress-db:places:26215:raw"",""path"":""$.postMeta.visit-price[0]"",""value"":""42758,42759,54132""}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/place/cmrq83pae00kewswvnimo75x3/edit","/editor/place/cmrq83pae00kewswvnimo75x3/edit"
"Place","cmrq83p3l009uwswvzex11pcj","trapetsiya","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}","[{""source"":""current.place"",""path"":""$"",""value"":{""id"":""cmrq83p3l009uwswvzex11pcj"",""slug"":""trapetsiya"",""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}},{""source"":""snapshot:wordpress-db:places:9870:raw"",""path"":""$.postMeta.texteditor-visit-price[0]"",""value"":""<p><strong>Аттракцион </strong></p>\n<p>1 подъём - <strong>6 руб.<br /></strong>+ скальные туфли<strong> - 11 руб.<br /></strong>+ скальные туфли, магнезия<strong> - 13 руб.<br /></strong></p>\n<p>2 подъёма - <strong>10 руб.</strong><br />...""}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/place/cmrq83p3l009uwswvzex11pcj/edit","/editor/place/cmrq83p3l009uwswvzex11pcj/edit"
"Place","cmrq83pgv00smwswv716nodq4","sport-park","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}","[{""source"":""current.place"",""path"":""$"",""value"":{""id"":""cmrq83pgv00smwswv716nodq4"",""slug"":""sport-park"",""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}},{""source"":""snapshot:wordpress-db:places:49952:raw"",""path"":""$.postMeta.texteditor-visit-price[0]"",""value"":""<p>17 р. - 30 мин.</p>""}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/place/cmrq83pgv00smwswv716nodq4/edit","/editor/place/cmrq83pgv00smwswv716nodq4/edit"
"Place","cmrq83pib00uvwswvui4sv17z","it-shag-kolledzh-ayti-shag","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}","[{""source"":""current.place"",""path"":""$"",""value"":{""id"":""cmrq83pib00uvwswvui4sv17z"",""slug"":""it-shag-kolledzh-ayti-shag"",""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}},{""source"":""snapshot:wordpress-db:places:51109:raw"",""path"":""$.postMeta.texteditor-visit-price[0]"",""value"":""<p>287 РУБ./МЕС. </p>""}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/place/cmrq83pib00uvwswvui4sv17z/edit","/editor/place/cmrq83pib00uvwswvui4sv17z/edit"
"Place","cmrq83pb200l4wswvypmqcd6w","kosmos","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}","[{""source"":""current.place"",""path"":""$"",""value"":{""id"":""cmrq83pb200l4wswvypmqcd6w"",""slug"":""kosmos"",""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}},{""source"":""snapshot:wordpress-db:places:30411:raw"",""path"":""$.postMeta.texteditor-visit-price[0]"",""value"":""<p>Бесплатно </p>""}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/place/cmrq83pb200l4wswvypmqcd6w/edit","/editor/place/cmrq83pb200l4wswvypmqcd6w/edit"
"Place","cmrq83p5400c6wswvioml1ulq","disco-park-disko-park","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}","[{""source"":""current.place"",""path"":""$"",""value"":{""id"":""cmrq83p5400c6wswvioml1ulq"",""slug"":""disco-park-disko-park"",""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}},{""source"":""snapshot:wordpress-db:places:11087:raw"",""path"":""$.postMeta.visit-price[0]"",""value"":""33159,33632,33633,33634""},{""source"":""snapshot:wordpress-db:places:11087:raw"",""path"":""$.postMeta.texteditor-visit-price[0]"",""value"":""<p>Выберите подходящий способ провести время в DiscoPark:</p>\n<p><strong>Почасовое посещение по предварительной записи</strong> – идеально для развлечений в любой день! Оплачивайте только за время пребывания и наслаждаясь всеми игровыми ...""}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/place/cmrq83p5400c6wswvioml1ulq/edit","/editor/place/cmrq83p5400c6wswvioml1ulq/edit"
"Place","cmrq83p9j00j6wswvd0p7zygh","igray-igray-na-kuprevicha","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}","[{""source"":""current.place"",""path"":""$"",""value"":{""id"":""cmrq83p9j00j6wswvd0p7zygh"",""slug"":""igray-igray-na-kuprevicha"",""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}},{""source"":""snapshot:wordpress-db:places:19800:raw"",""path"":""$.postMeta.texteditor-visit-price[0]"",""value"":""<p>БАЗОВЫЙ ПАКЕТ<br /> ⁃ Базовый сценарий квеста<br /> ⁃ Лазертаг<br />Стоимость - 35 бел.руб. за 1 участника<br />Продолжительность - 1,5 часа</p>\n<p>СТАНДАРТНЫЙ ПАКЕТ<br /> ⁃ Базовый сценарий квеста<br /> ⁃ Лазертаг<br /> ⁃ Виртуальная...""}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/place/cmrq83p9j00j6wswvd0p7zygh/edit","/editor/place/cmrq83p9j00j6wswvd0p7zygh/edit"
"Place","cmrq83pch00nawswvm7fghwyh","","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}","[{""source"":""current.place"",""path"":""$"",""value"":{""id"":""cmrq83pch00nawswvm7fghwyh"",""slug"":null,""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}},{""source"":""snapshot:wordpress-db:places:32409:raw"",""path"":""$.postMeta.texteditor-visit-price[0]"",""value"":""<p>НАШ INSTAGRAM ? ?  beenglish_online</p>\n<p>Стоимость указана за 1 занятие продолжительностью 2 академ.часа в мини группе до 4х человек:</p>\n<p>• тариф БАЗОВЫЙ - 29 бел.руб. </p>\n<p>• тариф СТАНДАРТ - 39 бел.руб.</p>\n<p>• тариф ПРЕМИУМ...""}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/place/cmrq83pch00nawswvm7fghwyh/edit","/editor/place/cmrq83pch00nawswvm7fghwyh/edit"
"Place","cmrq83pfm00qrwswv6q4agepc","happy-park","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}","[{""source"":""current.place"",""path"":""$"",""value"":{""id"":""cmrq83pfm00qrwswv6q4agepc"",""slug"":""happy-park"",""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}},{""source"":""snapshot:wordpress-db:places:47916:raw"",""path"":""$.postMeta.visit-price[0]"",""value"":""47917,47918,47919,47920,47921""},{""source"":""snapshot:wordpress-db:places:47916:raw"",""path"":""$.postMeta.texteditor-visit-price[0]"",""value"":""<p>от 350 рублей</p>""}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/place/cmrq83pfm00qrwswv6q4agepc/edit","/editor/place/cmrq83pfm00qrwswv6q4agepc/edit"
"Place","cmrq83pcz00nowswvq7lnbvtd","baletnaya-shkola-vezhnovets-na-smorgovskom-trakte","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}","[{""source"":""current.place"",""path"":""$"",""value"":{""id"":""cmrq83pcz00nowswvq7lnbvtd"",""slug"":""baletnaya-shkola-vezhnovets-na-smorgovskom-trakte"",""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}},{""source"":""snapshot:wordpress-db:places:32637:raw"",""path"":""$.postMeta.texteditor-visit-price[0]"",""value"":""<p>от 18 руб./час</p>""}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/place/cmrq83pcz00nowswvq7lnbvtd/edit","/editor/place/cmrq83pcz00nowswvq7lnbvtd/edit"
"Place","cmrq83pbb00ljwswvigca87nw","park-ugo-chavesa","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}","[{""source"":""current.place"",""path"":""$"",""value"":{""id"":""cmrq83pbb00ljwswvigca87nw"",""slug"":""park-ugo-chavesa"",""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}},{""source"":""snapshot:wordpress-db:places:30426:raw"",""path"":""$.postMeta.texteditor-visit-price[0]"",""value"":""<p>Вход бесплатный </p>""}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/place/cmrq83pbb00ljwswvigca87nw/edit","/editor/place/cmrq83pbb00ljwswvigca87nw/edit"
"Place","cmrq83p2y008swswvko9zfc0i","golf-park-gol-f-park","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}","[{""source"":""current.place"",""path"":""$"",""value"":{""id"":""cmrq83p2y008swswvko9zfc0i"",""slug"":""golf-park-gol-f-park"",""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}},{""source"":""snapshot:wordpress-db:places:9312:raw"",""path"":""$.postMeta.visit-price[0]"",""value"":""33073,33074,33075,33076""},{""source"":""snapshot:wordpress-db:places:9312:raw"",""path"":""$.postMeta.url-all-price[0]"",""value"":""https://golfpark.by/""},{""source"":""snapshot:wordpress-db:places:9312:raw"",""path"":""$.postMeta.texteditor-visit-price[0]"",""value"":""<p><strong>Посещение парка</strong> - почасовая оплата входного билета с каждого человека, доступ ко всем игровым локациям парка. В парке могут быть другие гости. </p>\n<ul>\n<li><em>Мы работаем по предварительной записи</em></li>\n<li><em>...""}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/place/cmrq83p2y008swswvko9zfc0i/edit","/editor/place/cmrq83p2y008swswvko9zfc0i/edit"
"Place","cmrq83pcn00nfwswv4mxx69lz","baletnaya-shkola-vezhnovets-v-dk-maz","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}","[{""source"":""current.place"",""path"":""$"",""value"":{""id"":""cmrq83pcn00nfwswv4mxx69lz"",""slug"":""baletnaya-shkola-vezhnovets-v-dk-maz"",""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}},{""source"":""snapshot:wordpress-db:places:32633:raw"",""path"":""$.postMeta.texteditor-visit-price[0]"",""value"":""<p>от 18 руб./час</p>\n<p> </p>""}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/place/cmrq83pcn00nfwswv4mxx69lz/edit","/editor/place/cmrq83pcn00nfwswv4mxx69lz/edit"
"Place","cmrq83p39009bwswvw2p70cad","byuro-detektivnykh-kvestov-pinkerton","{""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}","[{""source"":""current.place"",""path"":""$"",""value"":{""id"":""cmrq83p39009bwswvw2p70cad"",""slug"":""byuro-detektivnykh-kvestov-pinkerton"",""priceFrom"":null,""priceTo"":null,""currency"":""BYN"",""priceMode"":""UNKNOWN"",""priceItems"":null}},{""source"":""snapshot:wordpress-db:places:9865:raw"",""path"":""$.postMeta.url-all-price[0]"",""value"":""https://pinkertonquest.by/""}]","UNKNOWN","","","no-provable-price-intent","http://localhost:3000/editor/place/cmrq83p39009bwswvw2p70cad/edit","/editor/place/cmrq83p39009bwswvw2p70cad/edit"
