legacyPostId,targetArticleId,title,slug,legacyPermalink,classification,citySlug,cityId,finalCanonicalPath,relatedEntityIds,evidenceSummary
30593,cmssu2d2q00zcwsobedajgrh5,Музей авиации и космонавтики. Открытие,muzey-aviacii-i-kosmonavtiki-otkrytie,https://mamago.by/muzey-aviacii-i-kosmonavtiki-otkrytie/,CITY_RELATIONAL,minsk,cmq1fetfc003ioc0nkc4ekcro,/minsk/blog/muzey-aviacii-i-kosmonavtiki-otkrytie,places:30346,reviews-on-this-place->prod_lineage:places:30346->minsk
32217,cmssu3ay801dgwsobr8ytw7ex,Антуражный ресторан «Галерея»: место про эмоции,anturazhnyj-restoran-galereya-mesto-pro-emoczii,https://mamago.by/anturazhnyy-restoran-galereya-mesto-pro-emocii/,CITY_RELATIONAL,minsk,cmq1fetfc003ioc0nkc4ekcro,/minsk/blog/anturazhnyj-restoran-galereya-mesto-pro-emoczii,places:32246;places:32246,place-review-relation->wp_city_taxonomy:32246:minsk | reviews-on-this-place->wp_city_taxonomy:32246:minsk
37026,cmssu61lp0240wsobwt67ery4,Как получить паспорт гражданина Кореи за 2 минуты или обзор первого в Беларуси корейского стритфуда Chicko (Чико),obzor-pervogo-v-belarusi-koreyskogo-stritfuda-chicko,https://mamago.by/obzor-pervogo-v-belarusi-koreyskogo-stritfuda-chicko/,CITY_RELATIONAL,minsk,cmq1fetfc003ioc0nkc4ekcro,/minsk/blog/obzor-pervogo-v-belarusi-koreyskogo-stritfuda-chicko,places:36987;places:36987,place-review-relation->wp_city_taxonomy:36987:minsk | reviews-on-this-place->wp_city_taxonomy:36987:minsk
251,cmsswqb0d006mwsqhc7n54mdo,Наносы Новоселье или как мы провели выходные в аутентичной старобелорусской деревне.,nanosy-novosele-ili-kak-my-proveli-vyhodnye-v-autentichnoj-starobelorusskoj-derevne,https://mamago.by/nanosy-novosele-ili-kak-my-proveli-vyhodnye-v-autentichnoj-starobelorusskoj-derevne/,CITY_RELATIONAL,minsk,cmq1fetfc003ioc0nkc4ekcro,/minsk/blog/nanosy-novosele-ili-kak-my-proveli-vyhodnye-v-autentichnoj-starobelorusskoj-derevne,places:895;places:895,place-review-relation->prod_lineage:places:895->minsk | place-or-event-review-relation->prod_lineage:places:895->minsk
15396,cmsswu3za01miwsqhjigya4is,Масленица 2025 в Беларуси.,maslenica-2025-v-belarusi,https://mamago.by/maslenica-2025-v-belarusi/,CITY_RELATIONAL,minsk,cmq1fetfc003ioc0nkc4ekcro,/minsk/blog/maslenica-2025-v-belarusi,places:5389,reviews-on-this-place->prod_lineage:places:5389->minsk
20425,cmsswxmyw02viwsqh3yederzv,Где отметить день рождения ребенка: 10 крутых мест в Минске,gde-otmetit-den-rozhdeniya-rebenka-10-krutyh-mest-v-gorode,https://mamago.by/gde-otmetit-den-rozhdeniya-rebenka-10-krutyh-mest-v-gorode/,CITY_RELATIONAL,minsk,cmq1fetfc003ioc0nkc4ekcro,/minsk/blog/gde-otmetit-den-rozhdeniya-rebenka-10-krutyh-mest-v-gorode,places:20069,reviews-on-this-place->prod_lineage:places:20069->minsk
22331,cmsswz2qn03eewsqh4jjfwnyp,"Парк Уго Чавеса. Самый большой скейт-парк, замок и аттракционы.",park-ugo-chavesa-samyy-bolshoy-skeyt-park-zamok-i-attrakciony,https://mamago.by/park-ugo-chavesa-samyy-bolshoy-skeyt-park-zamok-i-attrakciony/,CITY_RELATIONAL,minsk,cmq1fetfc003ioc0nkc4ekcro,/minsk/blog/park-ugo-chavesa-samyy-bolshoy-skeyt-park-zamok-i-attrakciony,places:30426,reviews-on-this-place->prod_lineage:places:30426->minsk
22460,cmsswz3ll03euwsqhvmzwi8r2,Космос! Новый парк и зона отдыха между «Спортивной» и «Кунцевщиной»,kosmos-novyy-park-i-zona-otdyha-mezhdu-sportivnoy-i-kuncevshchinoy,https://mamago.by/kosmos-novyy-park-i-zona-otdyha-mezhdu-sportivnoy-i-kuncevshchinoy/,CITY_RELATIONAL,minsk,cmq1fetfc003ioc0nkc4ekcro,/minsk/blog/kosmos-novyy-park-i-zona-otdyha-mezhdu-sportivnoy-i-kuncevshchinoy,places:30411,reviews-on-this-place->prod_lineage:places:30411->minsk
34198,cmssx0aiu03wqwsqhcgnzoa2n,Дом Рождества. Чем там заняться и что входит в стоимость билета?,dom-rozhdestva-chem-tam-zanyatsya-i-chto-vhodit-v-stoimost-bileta,https://mamago.by/dom-rozhdestva-chem-tam-zanyatsya-i-chto-vhodit-v-stoimost-bileta/,CITY_RELATIONAL,minsk,cmq1fetfc003ioc0nkc4ekcro,/minsk/blog/dom-rozhdestva-chem-tam-zanyatsya-i-chto-vhodit-v-stoimost-bileta,events:33482,post-relation-blog-events->wp_city_taxonomy:33482:minsk
